Atlantic Reporter	A.
Gazette de l'Ontario	Gaz.O.
Gazette officielle du Québec	Gaz. Off. Qué.
Gazette du Palais	Gaz.Pal.
Georgetown Journal of International Law	Geo. J. Int'l L.
Georgetown Law Journal	Geo.L.J.
George Mason Independant Law Review	Geo. Mason Indep. L. Rev.
George Mason Law Review	Geo. Mason L. Rev.
George Mason University Law Review	Geo. Mason U. L. Rev.
George Washington Journal of International Law and Economics	Geo.Wash.J. Int'l L.& Econ.
George Washington Law Review	Geo. Wash. L. Rev.
Gazette officielle du Québec	G.O.
Gazette officielle du Québec	G.O.Q.
Gazette du Palais	G.P.
Canadian Green Bag	Green Bag
Canadian GST & Commodity Tax Cases	G.T.C.
Harvard Civil Rights Civil Liberties Law Review	Harv.Civ.R.Civ.L.
Harvard Environmental Law Review	Harv. Env. L. Rev.
Harvard Human Rights Yearbook	Harv. Hum. Rights Yearb.
Harvard International Law Journal	Harv.I.L.J.
Harvard International Law Journal	Harv.Int'l L.J.
Harvard Journal of Law and Public Policy	Harv. J.L. & Pub. Pol'y.
Harvard Journal on Legislation	Harv. J. on Legis.
Harvard Law Review	Harv. L. Rev.
Hastings International and Comparative Law Review	Hastings Int'l & Comp. L. Rev.
Hastings Law Journal	Hastings L. J.
Health Law in Canada	Health L.Can.
Health Law Journal	Health L.J.
Health Law Review	Health L.Rev.
Law Reports, English and Irish Appeals	H.L.
Harvard Law Review	H.L.R.
Hofstra Law Review	Hofstra L. Rev.
Human Rights	H.R.
Human Rights Journal	H.R.J.
Human Rights Law Journal	H.R.L.J.
Human Rights Review	H.R.Rev.
Canadian Human Rights Advocate	Human R. Advocate
Immigration Appeal Cases	I.A.C.
Inter-American Legal Materials	IALM
International Canada	I.Can.
Index to Canadian Legal Literature	I.C.L.L.
Index to Canadian Legal Periodical Literature	I.C.L.P.L.
International and Comparative Law Quarterly	I.C.L.Q.
Industrial Cases Reports	I.C.R.
Irish Jurist	I.J.
International Journal	I.J.
International Law Association, Report of Conference	I.L.A.Rep.Conf.
Industrial Law Journal	I.L.J.
Indigenous law journal ...	ILJ
Illinois Law Review	Ill. L. Rev.
International Legal Materials	I.L.M.
International Law News	I.L.News
International Law Quarterly	I.L.Q.
International Law Reports	I.L.R.
Canadian Insurance Law Reporter	I.L.R.
Insurance Law Reporter	I.L.R.
ILSA Journal of International Law	ILSA J.Int'l L.
Immigration Law Reporter	Imm. L. R.
Index to Canadian Legal Periodical Literature	Ind. Can. L. P. Lit.
Index to Foreign Legal Periodicals	Ind. For. Leg. Per.
The Indigenous Law Journal at the University of Toronto, Faculty of Law	Indigenous L. J.
Industrial Law Journal	Ind Law J
Index to Legal Periodicals	Ind. Leg. Per.
Indiana Law Journal	Ind. L. J.
Index to Periodical Articles Related to Law	Ind. Per. Art. Rel. Law.
Industrial Relations	Ind. Rel.
Industrial Relations	Ind. Relations
Industrial Relations	Indust. Relations
Insurance and Risk Management	Insur. & Risk Man.
International and Comparative Law Quarterly	Int Comp Law Q
Intellectual Property Journal	Intellect. Prop. J.
International Encyclopedia of Comparative Law	Int. Enc. Comp. Law
International Journal of Constitutional Law	Int J Constitutional Law
International Journal of Law and Information Technology	Int J Law Info Tech
International Journal of Law, Policy and the Family	Int J Law Policy Family
International Journal of Refugee	Int J Refugee Law
The International and comparative law quarterly	Int'l & Comp.L.Q.
International Journal of Legal Information	Int’l J. Legal Info.
International Journal of Law Libraries	Int'l. J.L.Libr.
The International Lawyer	Int'l Law
International Law News	Int'l L.News
International Law Quarterly	Int'l L.Q.
The International Law Quarterly	Int.L.Q.
International Perspectives	Int.Persp.
Intellectual Property Journal	Int.Prop.J.
Intramural Law Journal	Intramural L.J.
Iowa Law Review	Iowa L.Rev.
Intellectual Property Journal	I.P.J.
Isaac Pitblado Lectures on Continuing Legal Education	I.P.L.
Industrial Relations	I.R.
Industrial Relations Law Reports	I.R.L.R.
Israel Yearbook on Human Rights	Israel Y.H.R.
Israel Law Review	Isr. L. Rev.
Justinien	J.
Journal of African law	J. Afr.L.
Journal of Air Law and Commerce	J. Air L. & Com.
Journal of African Law	J.A.L.
The Japanese Annual of International Law	Japanese Ann.I.L.
The Japanese Annual of International Law	Jap.Ann.Int'l L.
Journal of Business Law	J.B.L.
Juris-classeur civil	J.C. civ.
Juris-classeur de droit comparé	J.C.D.C.
Juris-classeur fiscal	J.C. fisc.
Journal of Criminal Law	J.C.L.
Journal of Comparative Legislation and International Law	J.C.L. & I.L.
Juris-classeur de droit international	J.-Cl.D.I.
Journal of the Society of Comparative Legislation and International Law	J. Comp. Leg.
Journal of Comparative Legislation and International Law	J.Comp.Leg. & Int.Law
Journal of Conflict and Security Law	J Conflict Security Law
Journal of the Copyright Society of the U.S.A.	J. Copyright Soc’y U.S.A.
Juris Classeur Périodique	J.C.P.
Semaine juridique (édition générale)	J.C.P.
Semaine juridique. Administrations et collectivités territoriales	JCP A
Semaine juridique, entreprise et affaires	JCP E
Semaine juridique - édition générale	JCP G
Semaine juridique, notariale et imobilière	JCP N
Sommaires de jurisprudence criminelle et pénale du Québec	J.C.P.Q.
Semaine juridique. Social	JCP S
Journal of Criminal Law	J. Crim. L.
Juris-classeur du travail	J.C. trav.
Juris-classeur travail, textes	J.C. trav., textes
Journal des débats	J.D.
Journal du droit international	J.D.I.
Journal du Barreau	J. du Bar.
Jurisprudence Express	J.E.
Journal of Environmental Law and Practice	J.E.L.P.
Journal of Environmental Law	J Environmental Law
Journal of Family Law	J. Fam. L.
Journal of Health and Hospital Law	J. Health & Hosp. L.
Journal international de bioéthique	J.I.B.
Journal of International Banking Law	J.I.B.L
Jurisprudence inédite du droit municipal	J.I.D.M.
Journal of International Law and Economics	J.I.L.Econ.
New York University Journal of International Law and Politics	JILP
Journal of International Arbitration	J Int Arb
Journal of International Criminal Justice	J Int Criminal Justice
Journal of International Economic Law	J Int Economic Law
Journal des juges provinciaux	J.juges prov.
Jurisprudence logement	J.L.
Journal of Law & Equality	JL&E
Journal of Law and Economics	J.L. & Econ.
Journal of Law and Education	J.L. & Educ.
Journal of Law & Equality	J.L. & Equal.
Journal of Law & Equality	J.L. & Equality
Journal of Law and Health	J.L. & Health
Journal of Law and Social Policy	J.L. & Social Pol'y
Journal of Law and Society	J.L. & Soc’y
Journal of Law and Society	J.Law & Soc.
The Journal of Law, Economics, and Organization	J Law Econ Organ
Journal of Law & Equality	JLE
Journal of Legal Education	J. Legal Educ.
Journal of Legal Studies	J. Legal Stud.
Journal of Law, Medicine & Ethics	JLME
Journal of Law, Medicine & Ethics	J.L.Med. & Ethics
Journal of Law and Social Policy	J.L. Soc. Pol.
Justice municipale	J.M.
Journal of Maritime Law and Commerce	J.Marit.L.
Journal of Maritime Law and Commerce	J. Mar. L. & Com
Journal of Maritime Law and Commerce	J.M.L.C.
Journal of Motor Vehicle Law	J.M.V.L.
Journal des notaires et des avocats	J. Not. & Av.
Journal Officiel de la République Française	J.O.
John Marshall Journal of Computer & Information Law	John Marshall J. Comput. Inf. Law
Journal Officiel de la République Française	J.O.R.F.
Journal du droit international	Jour. Dr. Int.
Journal - Association du Barreau canadien	Journal A.B. can.
Journal - Canadian Bar Association	Journal Can. B.A.
Journal des Sociétés (Revue des sociétés)	Journ. Soc.
Journal du Palais	J.P.
Justice of the Peace	J.P.
Journal of Planning and Environment Law	J.P.E.L.
Journal of Parliamentary and Political Law / Revue de droit parlementaire et politique	J.P.P.L.
Justice of the Peace and Local Government Review	J.P.J.
Journal of Public Law	J.P.L.
Journal of Planning and Environment Law	J. Plan. & Env’t L.
Journal of Planning and Property Law	J.P.P.L.
Justice of the Peace and Local Government Review Reports	J.P.R.
Journal of Public Law	J. Pub. L.
Jugements du Québec	J.Q.
Juridical Review	J.R.
Journal des sociétés civiles et commerciales	J. soc. civ. et comm.
The Journal of the Society of Public Teachers of Law	J. Soc. Pub. Teach. Law
The Journal of the Society of Public Teachers of Law	J.S.P.T.L.
Jugements et délibérations du conseil souverain de la Nouvelle-France	Jug. et dél. N.F
Jugements et délibérations du Conseil Supérieur de Québec	Jug. et Dél.Q.
Jurimetrics Journal	Jurimetrics J.
Jurist (The)	Jurist
Justice Report	Jus.Report
Justinien	Just.
Journal of World Trade	J. World Trade
Journal of World Trade	J.W.T.
Journal of World Trade Law	J.W.T.L.
Law Reports King's Bench	K.B.
King’s Bench Division (Law Reports)	K.B.D.
Labor Arbitration Reports (BNA)	LA
Labour Arbitration Cases	Lab.Arb.Cas.
Labour Arbitration Yearbook	Lab. Arb. Y.B.
Labour Gazette	Lab.Gaz.
Labor Lawyer	Lab. Law.
Labor Law Journal	Labor L.J.
Labour Arbitration Yearbook	Labour Arbitr. Yearb.
Labor Relations Reporter	Lab. Rel. Rep.
Labour Arbitration Cases	L.A.C.
Louisiana Digest. West. 2nd ed.	La.Dig.2d
Louisiana Law Review	La. L.R.
Land Use and Environment Law Review	Land Use and Env’t L. Rev.
West's Louisiana Rules of Court	La.Rules of Cour
La Thémis	La.Th.
Law & History Review	Law & Hist. Rev.
Law and Policy in International Business	Law & Pol’y Int’l Bus.
Law and Social Inquiry	Law & Soc. Inquiry
Law and Computer Technology	Law Comput. Technol.
Law and Contemporary Problems	Law Cont. Probs.
Law Library Journal	Law Lib.J.
Law Practice Management	Law Practice Mgmt
The Law Reporter	Law Repr.
Law Teacher	Law Tchr.
Lawyer of the Americas	Lawyer Am.
Lawyers Weekly	Lawyers Wkly
Lois du Canada	L.C.
Lower Canada Jurist	L.C.J.
Lower Canada Jurist	L.C.Jur.
Lower Canada Law Journal	L.C.L.J.
Lower Canada Law Journal	L.C.L.Jo.
Law and Contemporary Problems	L.C.P.
Lower Canada Reports	L.C.R.
Land Compensation Reports	L.C.R.
Lower Canada Reports	L.C.Rep.
Recueil des arrêts du Conseil d'État	Lebon
Special Lectures of the Law Society of Upper Canada	Lectures L.S.U.C.
United States Supreme Court Reports, Lawyers edition	L.Ed.
Legal Issues of European Integration	Legal Issues Eur. Integration
Legal Medicine	Legal Med.
Legal Medical Quaterly	Legal Med.Q.
Legal Studies	Legal Stud.
Leiden Journal of International Law	Leiden J. Int’l L.
Law & History Review	LHR
Legal Issues of European Integration	L.I.E.I.
Litigation	Litig.
Law Journal Reports	L.J.
Law Journal Admiralty	L.J. Adm.
Law Journal Bankruptcy	L.J. Bk.
Law Journal Newspaper County Court Appeals	L.J.C.C.A.
Law Journal Crown Cases Reserved	L.J.C.C.R.
Law Journal Chancery	L.J. Ch.
Law Journal Common Pleas	L.J.C.P.
Law Journal Ecclesiastical Cases	L.J. Ecc.
Law Journal Exchequer	L.J. Exch.
Law Journal House of Lords	L.J.H.L.
Leiden Journal of International Law	LJIL
Law Journal, King's Bench	L.J.K.B.
Morgan and William's Law Journal	L.J.M. & W.
Law Journal, Notes of Cases	L.J.N.C.
Law Journal Newspaper, County Court Reports	L.J.N.C.C.R.
Law Journal, New Series. 1932-1949	L.J. (N.S.)
Law Journal Reports, Old Series	L.J. (O.S.)
Law Journal, Probate, Divorce and Admiralty	L.J.P.
Law Journal, Probate and Matrimonial	L.J.P. & M.
Law Journal, Privy Council	L.J.P.C.
Law Journal, Probate, Divorce and Admiralty	L.J.P.D. & A.
Law Journal, Queen's Bench	L.J.Q.B.
Law Journal Reports	L.J.R.
Law Library Journal	L. Lib. J.
Law Library Journal	L.L.J.
Lloyd’s Law Reports	LL.LR.
Lloyd’s List Law Reports	Lloyd’s List L. Rep.
Lloyd’s Maritime and Commercial Law Quarterly	Lloyd’s Mar. & Com.
Lloyd’s Law Reports	Lloyd’s Rep.
Lois du Manitoba	L.M.
Lloyd’s Maritime and Commercial Law Quarterly	L.M.C.L.Q.
Legal Medical Quaterly	L.M.Q.
Legal News	L.N.
Lois du Nouveau-Brunswick	L.N.B.
Law Now	L.Now
League of Nations Treaty Series	L.N.T.S.
Législation civile, commerciale et criminelle de la France par Locré	Locré
Lower Canada Law Journal	Low. Can. L.J.
Lower Canada Reports	Low.Can.R.
Loyers et copropriété	Loyers et copr.
Les Petites affiches	LPA
La Presse juridique	LPJ
Law Practice Management	L. Prac. Mgmt.
Lois du Québec (depuis 1969)	L.Q.
Law Quarterly Review	L.Q.R.
Law Quarterly Review	L.Q.Rev.
Lois révisées du Canada	L.R.
Law Reports Admiralty & Ecclesiastical Cases	L.R.A. & E.
Lois révisées du Canada	L.R.C.
Law Reports Crown Cases Reserved	L.R.C.C.R.
Law Reports Common Pleas Cases	L.R.C.P.
Law Reports Equity	L.R.Eq.
Law Reports Exchequer	L.R.Ex.
Law Reports English & Irish Appeals	L.R.H.L.
Law Reports Scotch & Divorce Appeals	L.R.H.L.Sc.
Lois révisées du Nouveau-Brunswick	L.R.N.B.
Lois refondus de l'Ontario	L.R.O.
Law Reports Probate & Divorce Cases	L.R.P. & D.
Law Reports Privy Council Appeals	L.R.P.C.
Lois refondues du Québec (édition sur feuilles mobiles)	L.R.Q.
Lois refondues du Québec, 1977 (édition reliée)	L.R.Q., 1977
Law Reports Queen's Bench Cases	L.R.Q.B.
Reports of Restrictive Practices Cases	L.R.R.P.C.
Law Reports Statutes	L.R. Stat.
Legal Studies	L.S.
West's Louisiana Statutes Annotated	LSA
The Law Society Gazette	L.S.G.
The Law Society Gazette	L.S. Gaz.
Law Society’s Gazette	L. Soc. Gaz
Law Society’s Gazette	L. Soc’y Gaz.
Law Society of Upper Canada Special Lectures	L.S.U.C.S.L.
Law Times Reports	L.T.
Law Times	L. Times
Law Times Reports	L.T.R.
Lawyers Weekly	L.W.
Maine Revised Statutes Annotated	Maine Rev.Stats.Anno.
Manitoba & Saskatchewan Tax Reports	Man.& Sask.Tax R.
Manitoba Bar News	Man.Bar News
Manitoba Law Journal	Man.L.J.
Manitoba Law Reports	Man.L.R.
Manitoba Law School Journal	Man.L.S.J.
Manitoba Reports	Man.R.
Mining Commissioners Cases, Ontario	M.C.C.
McGill Law Journal	McGill L.J.
McKinney's Consolidated Laws of New York Annotated	McKinney
Media & Communications Law Review	M.C.L.R.
Medicine and Law	Med. & Law
Medico-Legal Journal	Medico-Legal J.
Medical Law Review	Med Law Rev
Medicine Science, and the Law	Med. Sci. & L.
Melbourne University Law Review	Melb U L Rev
Maine Law Review	Me. L. Rev.
Meredith Memorial Lectures	Meredith Lect.
Meredith Memorial Lectures	Meredith Mem. Lect.
Massachusetts General Laws Annotated	M.G.L.A.
Michigan Law Review	Mich. L. Rev.
Minnesota Law Review	Minn. L. Rev.
Maastricht Journal of European and Comparative Law	M.J.
Manitoba Judgments	M.J.
McGill Journal of Law and Health	MJLH
Modern Law Review	M.L.R.
Montreal Law Reports (Index)	M.L.R.
Montreal Law Reports, Cour d’appel	M.L.R. (C.A.)
Montreal Law Reports, Cour supérieure	M.L.R.(S.C.)
Montreal Law Reports (Queen's Bench)	M.L.R. (Q.B.)
Manitoba Law School Journal	M.L.S.J.
Modern Law Review	Mod. L.R.
Le Monde juridique	Monde jur.
Municipal and Planning Law Reports	M.P.L.R.
Maritime Provinces Reports	M.P.R.
Manitoba Law Reports	M.R.
Melbourne University Law Review	M.U.L.R.
Municipalité (La Nouvelle Revue)	Mun.
Motor Vehicle Reports	M.V.R.
Newfoundland and Prince Edward Island Reports	N.&P.E.I.R.
National (Canadian Bar Ass.)	Nat.
National Banking Law Review	Nat.Banking L.Rev.
National Banking Law Review	Nat. B.L.Rev.
National Creditor=Debtor Review	Nat. Creditor=Debtor Rev.
National Creditor=Debtor Review	Nat. Creditor D. Rev.
National Creditor Debtor Review N.C.D.Rev.
National Insolvency Review	Nat.Insolvency Rev.
National Labour Review	Nat. Labour Rev.
National Civic Review	Nat’l Civic Rev.
National Insolvency Review	Natl. Insolv. Rev.
National Journal of Constitutional Law	Natl. J. Const. Law
National Tax Journal	Nat’l Tax J.
National Municipal Review	Nat. Munic. Rev.
Natural Resources Journal	Nat. Resources J.
Natural Law Forum	Natural L.F.
New Brunswick Judgments	N.B.J.
New Brunswick Reports	N.B.R.
New Brunswick Regulations	N.B. Reg.
National Creditor-Debtor Review	NC-D Rev.
North Carolina Law Review	N.C.L. Rev.
North Eastern Reporter	N.E.
Nebraska Law Review	Neb. L. Rev.
Netherlands International Law Review	Neth. Int. L. R.
New England Law Review	New Eng. L. Rev.
New Law Journal	New L.J.
Newfoundland and Prince Edward Island Reports	N.F.L.
Newfoundland and Prince Edward Island Reports	Nfld & P.E.I.R.
Newfoundland and Prince Edward Island Reports	Nfld & P.E.I. Reports
Northern Ireland Legal Quarterly	N.I.L.Q.
Netherlands International Law Review	NILR
Newfoundland Judgments	N.J.
National Journal of Constitutional Law	N.J.C.L.
New Law Journal	N.L.J.
Northwestern University Law Review	Northw. L. Rev.
Notre Dame Lawyer	Notre Dame Law.
Notre Dame Law Review	Notre Dame L. Rev.
National Reporter	N.R.
Natural Resources & Environment	N.R. & E.
Nouveau recueil général des traités (Martens)	N.R.G.T.
Nouveau recueil général des traités (Martens)2eme Série	N.R.G.T. 2e série
Nouveau recueil général des traités (Martens)3eme Série	N.R.G.T. 3e série
Royal Gazette (Nova Scotia)	N.S.G.
Nova Scotia Judgments	N.S.J.
Nova Scotia Reports	N.S.R.
New South Wales Reports	N.S.W.R.
New South Wales Supreme Court Reports	N.S.W.S.R.
Nunavut Judgments	Nu.J.
North Western Reporter	N.W.
North Western Reporter	N.W.R.
Northwest Territories Judgments	N.W.T.J.
Northwest Territories Reports	N.W.T.R.
Northwestern University Law Review	Nw. U.L. Rev.
Netherlands Yearbook of International Law	N.Y.I.L.
West’s New York Supplement	N.Y.S.
New York Supplement	N.Y.S.
New York Supplement	N.Y. Supp.
New York University Journal of International Law and Politics	N.Y.U.J.Int'l L. & Pol.
New York University Law Review	N.Y.U.L.R.
New York University Law Review	N.Y.U.L. Rev.
New Zealand Law Journal	N.Z.L.J.
New Zealand Universities Law Review	N.Z.U.L.R.
Ontario Appeal Cases	O.A.C.
Ontario Appeal Reports	O.A.R.
Ocean Development and International Law	Ocean Dev.& Int.L.
Ocean Development and International Law	Ocean Dev.I.L.
Ontario Family Law Reporter	O.F.L.R.
Ohio State Law Journal	Ohio St. L.J.
Osgoode Hall Law Journal	O.H.L.J.
Ontario Judgments	O.J.
Oxford Journal of Legal Studies	O.J.L.S.
Oklahoma City University Law Review	Okla. City U. L. Rev.
Ontario Law Reports	O.L.R.
Ontario Labour Relations Board Reports	O.L.R.B.D.
Ontario Labour Relations Board Reports	O.L.R.B. Rep.
Ontario Municipal Board Reports	O.M.B.R.
Ontario Corporations Law Guide	Ont.Corps. Law Guide
Ontario Lawyers Weekly	Ont. Lawyers Wkly.
Tribunal d'appel de la sécurité professionnelle et de l'assurance contre les accidents du travail de l'Ontario	ONWSIAT
Ontario Reports	O.R.
Oregon Law Review	Or. L. Rev.
Osgoode Hall Law Journal	Osgoode Hall L.J.
Ottawa Law Review	Ottawa L. Rev.
Ottawa Law Review	Ott.L.R.
Revue de droit & technologie de l'Université d'Ottawa	O.U.L.T.J.
Ontario Weekly Notes	O.W.N.
Ontario Weekly Reporter	O.W.R.
Oxford Journal of Legal Studies	Oxford J. Legal Stud.
Law Reports Probate	P.
Probate Division. 3rd Series	P.
Pacific Reporter	P.
Probate and Divorce Cases	P. & D.
Petites affiches	Pa
Pace International Law Review	Pace Int’l L. Rev.
Pandectes françaises périodiques	Pand.
Purdon's Pennsylvania Statutes Annotated	Pa.Stats.
Privy Council Appeals	P.C.
Probate Division. 2nd Series	P.D.
Prince Edward Island Judgments	P.E.I.J.
Perspectives internationales	Persp.I.
The Philanthropist. Le Philanthrope	Philanthrop
Propriétés intellectuelles	PI
Propriété intellectuelle bulletin documentaire	PIBD
Isaac Pitblado Lectures. Faculty of Law	Pitblado Lect.
Public Law	P.L.
Patent Law Review	P.L.R.
PoLAR : Political and Legal Anthropology Review	PoLAR
Personal Property Security Act Cases	P.P.S.A.C.
Probate and Property	Prob. & Prop.
Propriété industrielle	Propr. ind.
Provincial Judges Journal	Prov.Judges J.
Public Service Staff Relations Board Decisions	P.S.S.R.B.
Public International Law	Pub.Int'l L.
Public interest law reporter	Pub. Int. L. Rep.
Public Law	Pub.L.
Pyke reports, King's Bench	Pyke
Quebec Appeal Cases. Causes en appel au Québec	Q.A.C.
Law Reports -Queen's Bench 3rd series	Q.B.
Queen's Bench	Q.B.
Queen's Bench - Québec	Q.B.
Law Reports Queen's Bench Division	Q.B.D.
Queen's Intramural Law Journal	Q.I.L.J.
Quebec Judgments	Q.J.
Queen's Law Journal	Q.L.J.
Queensland Law Journal (Reports)	Q.L.J.
Quebec Law Reports	Q.L.R.
Quebec Revised Regulations	Q.R.R.
Queen's Intramural Law Journal	Queen’s Intra. L.J.
Queen's Law Journal	Queen’s L.J.
Gazette officielle du Québec	Que. Off. Gaz.
Reid et Ferland (Code de procédure civile annoté du Québec)	R.& F.
Recueil des arbitrages internationaux	R.A.I.
Règlements d'application des lois	R.A.L.
Reid's Administrative Law Letter	R.A.L.
Revue d'arbitrage et de médiation	RAMJAM
Journal of arbitration and mediation	RAMJAM
Revue belge de droit international	R.B.D.I.
Ruling Cases	R.C.
Responsabilité civile et assurances	R.C.A.
Recueil des cours de l'Académie de droit international de La Haye	R.C.A.D.I.
Revue canadienne de criminologie	R.C.C.
Recueils des décisons de la Commission canadienne des transports	R.C.C.T.
Revue canadienne du droit d'auteur	R.C.D.A.
Revue canadienne de droit administratif et de pratique	R.C.D.A.P.
Revue canadienne du droit de commerce	R.C.D.C.
Rapports de la cour de l'échiquier	R.C. de l'E.
Revue critique de droit international privé	R.C.D.I.P.
Revue canadienne droit et société	R.C.D.S.
Recueil des décisions des Cours fédérales	R.C.F.
Revue de la common law en français	R.C.L.F.
Revue de la Commission internationale des juristes	R.Comm.I.Jur.
Recueil des arrêts de la Cour suprême du Canada	R.C.S.
Répertoire de droit	R.D.
Revue de droit des affaires internationales	R.D.A.I.
Revue de droit comparé de l'Association québécoise pour l'étude comparative du droit	R.D.C.
Recueil des cours de l'Académie de droit international de La Haye	RdC
Revue des Contrats	RDC
Revue de droit	R. de D.
Revue de droit pénal	R.de d.pén.
Revue de droit comparé de l'Association québécoise pour l'étude comparative du droit	R. de droit comp.
Revue de jurisprudence	R. de J.
Revue de jurisprudence	R. de jur.
Revue de législation et de jurisprudence	R. de L.
Revue de législation et de jurisprudence	R. de L. et de J.
Recueil de droit de la famille	R.D.F.
Recueil de droit fiscal québécois	R.D.F.Q.
Revue des droits de l'homme	R.D.H.
Recueil de droit immobilier	R.D.I.
Revue de droit international et de droit comparé	R.D.I.D.C.
Revue de droit international et de droit comparé	R.D.I.D.Comp.
Revue de droit judiciaire	R.D.J.
Revue de droit linguistique	RDL
Recueil des droits et libertés de la personne	R.D.L.P.
Jurisprudence des droits et libertés de la peronne	R.D.L.P.
Revue de droit manitobain	R.D.Man.
Revue de droit de McGill	R.D. McGill
Revue de droit media & communications	R.D. Media & Comm.
Répertoire de droit Nouvelle Série	R.D. (N.S.)
Revue de droit d'Ottawa	R.D. Ottawa
Revue du droit public et de la science politique	R.D.P.
Revue de droit pénal	R.D.P.
Résumés de droit pénal	R.D.P.
Revue du droit de la propriété intellectuelle	RDPI
Revue de droit parlementaire et politique / Journal of Parliamentary and Political Law	R.D.P.P.
Revue de droit et santé de McGill	RDSM
Revue de droit sanitaire et social	R.D.S.S.
La Revue de droit du travail	R.D.T.
Revue de droit et technologie de l'Université d'Ottawa	R.D.T.U.O.
Revue de droit uniforme	R.D.U.
Revue du barreau	R. du B.
Revue du barreau canadien	R. du B. can.
La Revue du droit	R. du D.
Revue du droit de l'Union européenne	RDUE
La Revue du notariat	R. du N.
Revue de droit de l’Université du Nouveau-Brunswick	R.D. U.N.-B.
Revue de droit de l'Université du Nouveau-Brunswick	R.D.U.N.B.
Revue de droit de l'Université du Nouveau-Brunswick	R.D.U.N.-B.
Revue de droit de l'Université de Sherbrooke	R.D.U.S.
Revue de droit de l'Université de Toronto	R.D.U.T.
Real Estate Law Journal	Real Est. L.J.
Real Property, Probate and Trust Journal	Real Prop. Prob. & Tr. J.
Revue égyptienne de droit international	R.E.D.I.
Règlements du Nouveau-Brunswick	Règl. du N.-B.
Recueil des ententes internationales du Québec	R.E.I.Q.
Revue d'études juridiques	R.E.J.
Relations industrielles	Rel.Ind.
Répertoire de droit public et administratif (Dalloz)	Rép. admin.
Répertoire de droit civil (Dalloz)	Rép. civ.
Recueil général des lois et de la jurisprudence, et répertoire Commaille	Rép.Commaille
Répertoire de droit criminel et de procédure pénale (Dalloz)	Rép. crim.
Répertoire du notariat Defrénois	Rep. Defrénois
Reports of Family Law	Rep. Fam. L.
Répertoire de droit pénal et de procédure pénal	Rép. pén.
Répertoire de droit social et du travail	Rép. soc. et trav.
Research in Law and Economics	Res. L. & Econ.
Responsabilité civile et assurances	Resp. civ. et assur.
Revue fiscale canadienne	Rev. fiscale can.
Revue de l'arbitrage	Rev. arb.
Revue générale des assurances terrestres	Rev. assur. terr.
Revue belge de droit international	Rev. belge dr. int.
Revue canadienne de criminologie	Rev.can.crim.
Revue canadienne de criminologie et justice pénale	Rev. can. crim. & jus. pénale
Revue canadienne de droit et de l'emploi	Rev.can.D.& emploi
Revue canadienne de droit et société	Rev. can. D. & Société
Revue canadienne du droit de commerce	Rev.can.D.comm.
Revue canadienne de droit communautaire	Rev. can. D. communautaire
Revue canadienne de droit familial	Rev.can.D.fam.
Revue canadienne de droit pénal	Rev.can.D.P.
Revue canadienne de droit communautaire	Rev.can.dr.com.
Revue canadienne des recours collectifs	Rev. can. recours coll.
Review of Constitutional Studies	Rev. Const. Stud.
Review of Constitutional Studies	Rev.Constit. Studies
Review of Contemporary Law	Rev. Cont. L.
Revue canadienne de propriété intellectuelle	Rev. C.P.I.
Revue critique de législation et de jurisprudence du Canada	Rev.crit.
Revue critique de droit international	Rev. Crit. de Int. Pr.
Revue critique de législation et de jurisprudence	Rev. crit. de lég. et de jurispr.
Revue critique de droit international	Rev. crit. D.I.P.
Revue de droit international privé	Rev. crit. dr. int.
Revue de droit international	Rev.D.Inter.
Revue de droit international privé	Rev. D.I.P.
Revue de droit international et de droit comparé	Rev. dr. int. et dr. comp.
Revue du droit public et de la science politique	Rev. dr. pub. et sc. pol.
Revue de droit social	Rev. dr. soc.
Revue de droit uniforme	Rev. dr. unif.
Revue d'études constitutionnelles - Review of Constitutional Studies	Rev.études const.
Revue Femmes et Droit	Rev.Femmes & D.
Revue fiscale canadienne	Rev. fiscale can.
Revue française de droit constitutionnel	Rev. fr .dr. const.
Revue générale de droit	Rev Gen Dr
Revue générale de droit	Rev. gen. droit
Revue générale de droit international public	Rev. gén. dr. int. publ.
Revue historique du droit français et étranger	Rev. his. dr. fr. et ét.
Revue internationale des droits de l’Antiquité	Rev. int. dr. Ant.
Revue internationale du droit d’auteur	Rev. int. dr. Auteur
Revue internationale de droit comparé	Rev. int. dr. comp.
Revue internationale de droit pénal	Rev. int. dr. pén.
Revue du JAG des Forces canadiennes	Rev. JAG Forces can.
Revue juridique et économique du Sud-Ouest	Rev. jur. et éc.
Revue juridique "La femme et le droit"	Rev. jur. Femme & D.
Revue des lois et des politiques sociales	Rev. lois & pol. sociales
Revue de planification fiscale et successorale	Rev. plan. fisc. & success.
Revised Reports	Rev. Rep.
Revue de science criminelle et de droit pénal comparé	Rev. science crim. et dr. pén. comparé
Revue des sociétés	Rev. soc.
Review of Socialist Law	Rev. Socialist L.
The Statutes Revised	Rev. Stat.
Revue de droit du travail	Rev. trav.
Revue trimestrielle de droit civil	Rev. Trim. Civ.
Revue trimestrielle des droits de l'homme	Rev.Trim.dr.
Revue trimestrielle de droit civil	Rev. trim. dr. civ.
Revue trimestrielle de droit commercial	Rev. trim. dr. com.
Revue trimestrielle de droit européen	Rev.trim.dr.europ.
Revue trimestrielle de droit familial	Rev. trim. dr. fam.
