Atlantic Reporter	A.
Banking & Finance Law Review	B.F.L.R.
Bürgerliches Gesetzbuch (Code civil allemand)	B.G.B.
Bibliothèques de droit canadiennes	Bibliothèques d. can.
Bulletin for International Fiscal Documentation	B.I.F.D.
British International Law Cases	B.I.L.C.
British Journal of Administrative Law	B.J.A.L.
Bulletin Joly bourse	BJB
Bulletin de jurisprudence des cours municipales du Québec	BJCMQ
British Journal of Law and Society	B.J.L.S.
Bulletin Joly sociétés	BJS
Bulletin Législatif Dalloz	B.L.D.
Business Law Reports	B.L.R.
Butterworths Ontario Digest	B.O.D.
Bond Law Review	Bond. L. R.
Boston University Law Review	Boston U.L. Rev.
Boston University Law Review	Boston Univ. law rev.
Rapports judiciaires de Québec. Cour du Banc de la Reine (en appel)	B.R.
Décisions du bureau de révision de l'évaluation foncière du Québec	B.R.E.F.
British Journal of Administrative Law	Brit. J. Admin. Law.
British Journal of Law and Society	Brit. J. L. & Soc.
British Tax Review	Brit. Tax. Rev.
British Yearbook of International Law	Brit. Y.B. Int. L.
The British Journal of Criminology	Br J Criminol
Brooklyn Law Review	Brook. L.Rev.
Brooklyn Journal of International Law	Brooklyn J.I.L.
Brooklyn Journal of International Law	Brooklyn j. int. law
Brooklyn Journal of International Law	Brooklyn J.Int'l L.
Brooklyn Law Review	Brooklyn law rev
Décisions des bureaux de révision paritaires	B.R.P.
Buffalo Law Review	Buff. L. Rev.
Bibliothèques de droit canadiennes	Bull. ACBD
Bulletin canadien VIH-SIDA et droit	Bull. can. VIH SIDA droit
Bulletin des arrêts de la Cour de cassation, Chambres civiles	Bull.cass.civ.
Bulletin des arrêts de la Cour de cassation, Chambres criminelles	Bull.cass.crim.
Bulletin d'information juridique du CCDJ	Bull. CCDJ
Bulletin des arrêts de la Cour de cassation, Chambres civiles	Bull. Civ.
Bulletin de la Commission internationale des juristes	Bull. Com. int. jur.
Bulletin de documentation fiscale internationale	Bull. doc. fisc. int.
Bulletin du Barreau canadien	Bull. du B.
Bulletin Législatif Dalloz	Bull. lég. D.
Bulletin of the Section of International and Comparative Law of the American Bar Association	Bull.Sect.I.Comp.
Bulletin de la Société de législation comparée	Bull. Soc. légis. comp.
Boston University Law Review	B.U.L. Rev.
Business & the Law	Bus. & L.
Business & the Law	Bus. & Law
Business & the Law	Bus.L.
Business Lawyers	Bus. Law.
Butterworths Ontario Digest	Butt. Ont. D.
British Yearbook of International Law	B.Y.B.I.L.
British Yearbook of International Law	B.Y.I.L.
Recueils de jurisprudence du Québec. Cour d'appel	C.A.
Jugements publiés et inédits, Cour d'appel	C.A. [Inédits]
Canadian Annual Digest	C.A.D.
Cahiers du droit d'auteur	Cah. dr. aut.
Cahiers de droit européen	Cah. Drt. Europ.
Les Cahiers (Chambre des notaires du Québec)	Cahiers
Les Cahiers de droit	Cahiers [C.deD.]
Les Cahiers de propriété intellectuelle	Cahiers prop. intel.
Décisions de la Commission d'accès à l'information	C.A.I.
California Western International Law Journal	Calif. West. int. law j
California Western International Law Journal	Calif.W.I.L.J.
California Law Review	Cal. L. Rev.
Décisions de la Commission d'appel en matières de lésions professionnelles	C.A.L.P.
West's California Reporter	Cal.Rptr.
California Western International Law Journal	Cal.W.Int'l L.J.
Comptable Agréé Magazine	C.A.Mag.
Cambridge Lectures	Camb. Lect.
Canadian Abridgment	Can.Abr.
Canadian Abridgment, Second Edition	Can.Abr. 2nd
Canadian Abridgment Bulletin	Can. Abridg. Bull.
Canadian Reports. Appeal Cases	Can. A.C.
Canadian-American Law Journal	Can.-Am. L.J.
Canadian Bar Journal	Can. Bar J.
Papers presented at the Annual Meeting...Canadian Bar Association	Can.Bar Papers
Canadian Bar Review	Can.Bar Rev.
Canadian Business Law Journal	Can.Bus.L.J.
Yearbook of the Canadian Bar Association	Can.B.Year Book
Canadian Class Action Review	Can. Class Act. Rev.
Canadian Commercial Law Guide	Can. Com. L. Guide
Canadian Community Law Journal	Can.Com.L.J.
Canadian Communications Law Review	Can.Comm.L.R.
Canadian communications law review	Can. Communic. L. Rev.
Canadian Community Law Journal	Can. Community. L.J.
Canadian Computer Law Reporter	Can.Computer L.R
Canadian Corporations Bulletin	Can.Corp.Bull.
Annual Conference of the Canadian Council on Internationa Law	Can. Council Int. L.
